25 20
#############
#.........sk#    ########
#...s.....ss######......#
#......i......h..c..a...#
#...........######......#
#.....s.....#    #......#
#...........#    #...t..#
#...........#    #......#
#####oo######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #...i...#      #...k..#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ##c###
